session no.,date,topic,speakers,commnet,phase of trial,,,,,p=prosection
,,PWV77,Yehuda Bakon,,prosecution,,,,,
70,8.6.61,PWV81,Raya Kagan,,prosecution,,,,,
,,PWV82,Esther Goldstein,,prosecution,,,,,
,,film screening,,,prosecution,,,,,
71,8.6.61,PWV83,Vera Alexander,,prosecution,,,,,
,,PWV84,Nachum Hoch,,prosecution,,,,,
,,PWV85,Gdaliah Ben Zvi,,prosecution,,,,,
,,PW11,Mordechai Chen,״מצהיר״,prosecution,,,,,
72,9.6.61,procedural,,,prosecution,,,,,
73,12.6.61,procedural,,,prosecution,,,,,
,,PWV86,Shalom Cholawski,,prosecution,,,,,
,,PW12,Aharon Hoter Yishai,,prosecution,,,,,
74,12.6.61,PW13,avraham Hagag,,prosecution,,,,,
75, ,procedural ,,,,,,,,
UNTIL session 75  (page 1155) PROSECUTION,,,,,prosecution,,,,,
75,20.6.61,DE,Eichmann testimony,,defense ,,,,,
76,21.6.61,DE,Eichmann testimony,,defense ,,,,,
77,,DE,Eichmann testimony,,defense ,,,,,
78,,DE,Eichmann testimony,,defense ,,,,,
79,26.6.61,DE,Eichmann testimony,,defense ,,,,,
80,,DE,Eichmann testimony,,defense ,,,,,
81,28.6.61,DE,Eichmann testimony,,defense ,,,,,
82,,,Eichmann testimony,,defense ,,,,,
83,,,Eichmann testimony,,defense ,,,,,
84,,,Eichmann testimony,,defense ,,,,,
85,,Eduyot Hul ,prosecution,,prosecution,,,,,
86,5.7.61,DE,Eichmann testimony,,defense ,,,,,
87,6.7.61,DE,Eichmann testimony,,defense ,,,,,
88,7.7.61,DE,Eichmann testimony,,defense ,,,,,
89,10.7.61,no session - sick,,,defense ,,,,,
90,10.7.61,DE,Eichmann testimony,,defense ,,,,,
91,11.7.61,DE,Eichmann testimony,,defense ,,,,,
92,11.7.61,DE,Eichmann testimony,,defense ,,,,,
93,12.7.61,DE,Eichmann testimony,,defense ,,,,,
94,12.7.61,DE,Eichmann testimony,,defense ,,,,,
95,13.7.61,DE,Eichmann testimony,,defense ,,,,,
96,13.7.61,DE,Eichmann testimony,,defense ,,,,,
97,14.7.61,DE,Eichmann testimony,,defense ,,,,,
98,17.7.61,DE,Eichmann testimony,,defense ,,,,,
99,17.7.61,DE,Eichmann testimony,,defense ,,,,,
100,18.7.61,DE,Eichmann testimony,,defense ,,,,,
101,18.7.61,DE,Eichmann testimony,,defense ,,,,,
102,19.7.61,DE,Eichmann testimony,,defense ,,,,,
103,19.7.61,DE,Eichmann testimony,,defense ,,,,,
104,20.7.61,DE,Eichmann testimony,,defense ,,,,,
105,20.7.61,DE,Eichmann testimony,,defense ,,,,,
106,21.7.61,DE,Eichmann testimony,,defense ,,,,,
107,24.7.61,DE,Eichmann testimony,,defense ,,,,,
108,24.7.61,Eduyot Hul ,defense,,defense,,,,,
109,25.7.61,Eduyot Hul ,defense,,defense,,,,,
110,8.8.61,closing brief,P Hausner,,prosecution,,,,,
111,8.8.61,closing brief,P Hausner,,prosecution,,,,,
112,9.8.61,closing brief,P Hausner,,prosecution,,,,,
113,10.8.61,closing brief,P Hausner,,prosecution,,,,,
114,14.8.61,closing brief ,D Servatius,,defense,,,,,
115,11.12.61,verdict,Judges,,conclusion,,,,,
116,11.12.61,verdict,Judges,,conclusion,,,,,
117,12.11.61,verdict,Judges,,conclusion,,,,,
118,12.12.61,verdict,Judges,,conclusion,,,,,
119,12.12.61,verdict,Judges,,conclusion,,,,,
120,13.12.61,arguments for punishment ,P Hausner,,conclusion,,,,,
,,arguments for punishment ,D Servatius,,conclusion,,,,,
121,15.12.61,sentencing ,Judges,,conclusion,,,,,
